"SKU","Name","On Hand","Available","Customs Description","Tariff Code","Customs Value","Price","Warehouse Product Price","Barcode","Warehouse"
"57370855506302","Ripple Card Holder Brown","0","0","Ripple Card Holder Brown","0","0.0000","0.0000",,"782170695","Vareya BV / Primary"
"57370855473534","Ripple Card Holder Beige","0","0","Ripple Card Holder Beige","0","0.0000","0.0000",,"781665366","Vareya BV / Primary"
"57370855440766","Ripple Card Holder Blue","0","0","Ripple Card Holder Blue","0","0.0000","0.0000",,"781665301","Vareya BV / Primary"
"57370855407998","Ripple Card Holder Black","0","0","Ripple Card Holder Black","0","0.0000","0.0000",,"782171071","Vareya BV / Primary"
"57214809145726","RIPPLE CARD HOLDER SAND","0","0","RIPPLE CARD HOLDER SAND","0","0.0000","0.0000","36.0000","778192988","Vareya BV / Primary"
"57214808326526","RIPPLE CARD HOLDER TAN","0","0","RIPPLE CARD HOLDER TAN","0","0.0000","0.0000","36.0000","778198204","Vareya BV / Primary"
"57214806589822","RIPPLE CARD HOLDER DARK BLUE","0","0","RIPPLE CARD HOLDER DARK BLUE","0","0.0000","0.0000","36.0000","778175497","Vareya BV / Primary"
"57214803771774","RIPPLE CARD HOLDER BLACK","0","0","RIPPLE CARD HOLDER BLACK","0","0.0000","0.0000","36.0000","778192793","Vareya BV / Primary"
"57214794203518","RIPPLE CARD HIOLDER BLACK","0","0","RIPPLE CARD HIOLDER BLACK","0","0.0000","0.0000",,"778175156","Vareya BV / Primary"
"57214309990782","RIPPLE CARD HOLDER IN BLUE","0","0","RIPPLE CARD HOLDER IN BLUE","0","0.0000","0.0000",,"778191368","Vareya BV / Primary"
"57214309335422","RIPPLE CARD HOLDER IN BLACK","0","0","RIPPLE CARD HOLDER IN BLACK","0","0.0000","0.0000",,"778171196","Vareya BV / Primary"
"57134559330686","Men's Cuff+Bracelets Bundle Black / Black / Black","0","0","Men's Cuff+Bracelets Bundle Black / Black / Black","0","0.0000","73.0000","58.4000","776159702","Vareya BV / Primary"
"57134559297918","Men's Cuff+Bracelets Bundle Black / Black / Gold","0","0","Men's Cuff+Bracelets Bundle Black / Black / Gold","0","0.0000","73.0000","58.4000","776192083","Vareya BV / Primary"
"57134559265150","Men's Cuff+Bracelets Bundle Black / Black / Silver","0","0","Men's Cuff+Bracelets Bundle Black / Black / Silver","0","0.0000","73.0000","58.4000","776189278","Vareya BV / Primary"
"57134559232382","Men's Cuff+Bracelets Bundle Black / Gold / Black","0","0","Men's Cuff+Bracelets Bundle Black / Gold / Black","0","0.0000","73.0000","58.4000","776189222","Vareya BV / Primary"
"57134559199614","Men's Cuff+Bracelets Bundle Black / Gold / Gold","0","0","Men's Cuff+Bracelets Bundle Black / Gold / Gold","0","0.0000","73.0000","58.4000","776159701","Vareya BV / Primary"
"57134559166846","Men's Cuff+Bracelets Bundle Black / Gold / Silver","0","0","Men's Cuff+Bracelets Bundle Black / Gold / Silver","0","0.0000","73.0000","58.4000","776189223","Vareya BV / Primary"
"57134559134078","Men's Cuff+Bracelets Bundle Black / Silver / Black","0","0","Men's Cuff+Bracelets Bundle Black / Silver / Black","0","0.0000","73.0000","58.4000","776159149","Vareya BV / Primary"
"57134559101310","Men's Cuff+Bracelets Bundle Black / Silver / Gold","0","0","Men's Cuff+Bracelets Bundle Black / Silver / Gold","0","0.0000","73.0000","58.4000","776189258","Vareya BV / Primary"
"57134559068542","Men's Cuff+Bracelets Bundle Black / Silver / Silver","0","0","Men's Cuff+Bracelets Bundle Black / Silver / Silver","0","0.0000","73.0000","58.4000","776161108","Vareya BV / Primary"
"57134559035774","Men's Cuff+Bracelets Bundle Gold / Black / Black","0","0","Men's Cuff+Bracelets Bundle Gold / Black / Black","0","0.0000","73.0000","58.4000","776159635","Vareya BV / Primary"
"57134559003006","Men's Cuff+Bracelets Bundle Gold / Black / Gold","0","0","Men's Cuff+Bracelets Bundle Gold / Black / Gold","0","0.0000","73.0000","58.4000","776159922","Vareya BV / Primary"
"57134558970238","Men's Cuff+Bracelets Bundle Gold / Black / Silver","0","0","Men's Cuff+Bracelets Bundle Gold / Black / Silver","0","0.0000","73.0000","58.4000","776191981","Vareya BV / Primary"
"57134558937470","Men's Cuff+Bracelets Bundle Gold / Gold / Black","0","0","Men's Cuff+Bracelets Bundle Gold / Gold / Black","0","0.0000","73.0000","58.4000","776192002","Vareya BV / Primary"
"57134558904702","Men's Cuff+Bracelets Bundle Gold / Gold / Gold","0","0","Men's Cuff+Bracelets Bundle Gold / Gold / Gold","0","0.0000","73.0000","58.4000","776159117","Vareya BV / Primary"
"57134558871934","Men's Cuff+Bracelets Bundle Gold / Gold / Silver","0","0","Men's Cuff+Bracelets Bundle Gold / Gold / Silver","0","0.0000","73.0000","58.4000","776159616","Vareya BV / Primary"
"57134558839166","Men's Cuff+Bracelets Bundle Gold / Silver / Black","0","0","Men's Cuff+Bracelets Bundle Gold / Silver / Black","0","0.0000","73.0000","58.4000","776159137","Vareya BV / Primary"
"57134558806398","Men's Cuff+Bracelets Bundle Gold / Silver / Gold","0","0","Men's Cuff+Bracelets Bundle Gold / Silver / Gold","0","0.0000","73.0000","58.4000","776189201","Vareya BV / Primary"
"57134558773630","Men's Cuff+Bracelets Bundle Gold / Silver / Silver","0","0","Men's Cuff+Bracelets Bundle Gold / Silver / Silver","0","0.0000","73.0000","58.4000","776159076","Vareya BV / Primary"
"57134558740862","Men's Cuff+Bracelets Bundle Silver / Black / Black","0","0","Men's Cuff+Bracelets Bundle Silver / Black / Black","0","0.0000","73.0000","58.4000","776161083","Vareya BV / Primary"
"57134558708094","Men's Cuff+Bracelets Bundle Silver / Black / Gold","0","0","Men's Cuff+Bracelets Bundle Silver / Black / Gold","0","0.0000","73.0000","58.4000","776161102","Vareya BV / Primary"
"57134558675326","Men's Cuff+Bracelets Bundle Silver / Black / Silver","0","0","Men's Cuff+Bracelets Bundle Silver / Black / Silver","0","0.0000","73.0000","58.4000","776192003","Vareya BV / Primary"
"57134558642558","Men's Cuff+Bracelets Bundle Silver / Gold / Black","0","0","Men's Cuff+Bracelets Bundle Silver / Gold / Black","0","0.0000","73.0000","58.4000","776161101","Vareya BV / Primary"
"57134558609790","Men's Cuff+Bracelets Bundle Silver / Gold / Gold","0","0","Men's Cuff+Bracelets Bundle Silver / Gold / Gold","0","0.0000","73.0000","58.4000","776191967","Vareya BV / Primary"
"57134558577022","Men's Cuff+Bracelets Bundle Silver / Gold / Silver","0","0","Men's Cuff+Bracelets Bundle Silver / Gold / Silver","0","0.0000","73.0000","58.4000","776161068","Vareya BV / Primary"
"57134558544254","Men's Cuff+Bracelets Bundle Silver / Silver / Black","0","0","Men's Cuff+Bracelets Bundle Silver / Silver / Black","0","0.0000","73.0000","58.4000","776159929","Vareya BV / Primary"
"57134558511486","Men's Cuff+Bracelets Bundle Silver / Silver / Gold","0","0","Men's Cuff+Bracelets Bundle Silver / Silver / Gold","0","0.0000","73.0000","58.4000","776159089","Vareya BV / Primary"
"57134558478718","Men's Cuff+Bracelets Bundle Silver / Silver / Silver","0","0","Men's Cuff+Bracelets Bundle Silver / Silver / Silver","0","0.0000","73.0000","58.4000","776159711","Vareya BV / Primary"
"57134089568638","Men's 925 Silver Bundle","0","0","Men's 925 Silver Bundle","0","0.0000","206.0000","132.6000","776152783","Vareya BV / Primary"
"57134084456830","Men's Bracelet Bundle Black / Black","0","0","Men's Bracelet Bundle Black / Black","0","0.0000","46.0000","46.0000","776153914","Vareya BV / Primary"
"57134084424062","Men's Bracelet Bundle Black / Gold","0","0","Men's Bracelet Bundle Black / Gold","0","0.0000","46.0000","46.0000","776154035","Vareya BV / Primary"
"57134084391294","Men's Bracelet Bundle Black / Silver","0","0","Men's Bracelet Bundle Black / Silver","0","0.0000","46.0000","46.0000","776152436","Vareya BV / Primary"
"57134084358526","Men's Bracelet Bundle Gold / Black","0","0","Men's Bracelet Bundle Gold / Black","0","0.0000","46.0000","46.0000","776152526","Vareya BV / Primary"
